,Year,Winner,Play,Author,Link
28,2001,False,Betrayal,Harold Pinter,https://en.wikipedia.org/wiki/Betrayal_(play)
29,2001,False,The Best Man,Gore Vidal,https://en.wikipedia.org/wiki/The_Best_Man_(play)
30,2001,False,The Search for Signs of Intelligent Life in the Universe,Jane Wagner,https://en.wikipedia.org/wiki/The_Search_for_Signs_of_Intelligent_Life_in_the_Universe
31,2002,True,Private Lives,Noël Coward,https://en.wikipedia.org/wiki/Private_Lives
32,2002,False,The Crucible,Arthur Miller,https://en.wikipedia.org/wiki/The_Crucible
33,2002,False,Morning's at Seven,Paul Osborn,https://en.wikipedia.org/wiki/Morning%27s_at_Seven
34,2002,False,Noises Off,Michael Frayn,https://en.wikipedia.org/wiki/Noises_Off
35,2003,True,Long Day's Journey into Night,Eugene O'Neill,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
36,2003,False,A Day in the Death of Joe Egg,Peter Nichols,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg
37,2003,False,Dinner at Eight,Edna Ferber and George S. Kaufman,https://en.wikipedia.org/wiki/Dinner_at_Eight_(play)
38,2003,False,Frankie and Johnny in the Clair de Lune,Terrence McNally,https://en.wikipedia.org/wiki/Frankie_and_Johnny_in_the_Clair_de_Lune
39,2004,True,Henry IV,William Shakespeare,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1"
40,2004,False,Jumpers,Tom Stoppard,https://en.wikipedia.org/wiki/Jumpers
41,2004,False,King Lear,William Shakespeare,https://en.wikipedia.org/wiki/King_Lear
42,2004,False,A Raisin in the Sun,Lorraine Hansberry,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
43,2005,True,Glengarry Glen Ross,David Mamet,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross
44,2005,False,On Golden Pond,Ernest Thompson,https://en.wikipedia.org/wiki/On_Golden_Pond_(play)
45,2005,False,Twelve Angry Men,Reginald Rose,https://en.wikipedia.org/wiki/Twelve_Angry_Men_(play)
46,2005,False,Who's Afraid of Virginia Woolf?,Edward Albee,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
47,2006,True,Awake and Sing!,Clifford Odets,https://en.wikipedia.org/wiki/Awake_and_Sing!
48,2006,False,The Constant Wife,W. Somerset Maugham,https://en.wikipedia.org/wiki/The_Constant_Wife
49,2006,False,Faith Healer,Brian Friel,https://en.wikipedia.org/wiki/Faith_Healer
50,2006,False,Seascape,Edward Albee,https://en.wikipedia.org/wiki/Seascape_(play)
51,2007,True,Journey's End,R. C. Sherriff,https://en.wikipedia.org/wiki/Journey%27s_End
52,2007,False,Inherit the Wind,Jerome Lawrence and Robert E. Lee,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
53,2007,False,Talk Radio,Eric Bogosian,https://en.wikipedia.org/wiki/Talk_Radio_(play)
54,2007,False,Translations,Brian Friel,https://en.wikipedia.org/wiki/Translations
55,2008,True,Boeing-Boeing,Marc Camoletti,https://en.wikipedia.org/wiki/Boeing-Boeing_(play)
56,2008,False,The Homecoming,Harold Pinter,https://en.wikipedia.org/wiki/The_Homecoming
57,2008,False,Les Liaisons Dangereuses,Christopher Hampton,https://en.wikipedia.org/wiki/Les_Liaisons_Dangereuses_(Hampton_play)
58,2008,False,Macbeth,William Shakespeare,https://en.wikipedia.org/wiki/Macbeth
59,2009,True,The Norman Conquests,Alan Ayckbourn,https://en.wikipedia.org/wiki/The_Norman_Conquests
60,2009,False,Joe Turner's Come and Gone,August Wilson,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone
61,2009,False,Mary Stuart,Friedrich Schiller,https://en.wikipedia.org/wiki/Mary_Stuart_(play)
62,2009,False,Waiting for Godot,Samuel Beckett,https://en.wikipedia.org/wiki/Waiting_for_Godot
63,2010,True,Fences,August Wilson,https://en.wikipedia.org/wiki/Fences_(play)
64,2010,False,Lend Me a Tenor,Ken Ludwig,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor
65,2010,False,The Royal Family,Edna Ferber and George S. Kaufman,https://en.wikipedia.org/wiki/The_Royal_Family_(play)
66,2010,False,A View from the Bridge,Arthur Miller,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
67,2011,True,The Normal Heart,Larry Kramer,https://en.wikipedia.org/wiki/The_Normal_Heart
68,2011,False,Arcadia,Tom Stoppard,https://en.wikipedia.org/wiki/Arcadia_(play)
69,2011,False,The Importance of Being Earnest,Oscar Wilde,https://en.wikipedia.org/wiki/The_Importance_of_Being_Earnest
70,2011,False,The Merchant of Venice,William Shakespeare,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
71,2012,True,Death of a Salesman,Arthur Miller,https://en.wikipedia.org/wiki/Death_of_a_Salesman
72,2012,False,The Best Man,Gore Vidal,https://en.wikipedia.org/wiki/The_Best_Man_(play)
73,2012,False,Master Class,Terrence McNally,https://en.wikipedia.org/wiki/Master_Class
74,2012,False,Wit,Margaret Edson,https://en.wikipedia.org/wiki/Wit_(play)
75,2013,True,Who's Afraid of Virginia Woolf?,Edward Albee,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
76,2013,False,Golden Boy,Clifford Odets,https://en.wikipedia.org/wiki/Golden_Boy_(play)
77,2013,False,Orphans,Lyle Kessler,https://en.wikipedia.org/wiki/Orphans_(Lyle_Kessler_play)
78,2013,False,The Trip to Bountiful,Horton Foote,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful_(play)
79,2014,True,A Raisin in the Sun,Lorraine Hansberry,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
80,2014,False,The Cripple of Inishmaan,Martin McDonagh,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan
81,2014,False,The Glass Menagerie,Tennessee Williams,https://en.wikipedia.org/wiki/The_Glass_Menagerie
82,2014,False,Twelfth Night,William Shakespeare,https://en.wikipedia.org/wiki/Twelfth_Night
83,2015,False,Skylight,David Hare,https://en.wikipedia.org/wiki/Skylight_(play)
84,2015,False,The Elephant Man,Bernard Pomerance,https://en.wikipedia.org/wiki/The_Elephant_Man_(play)
85,2015,False,This Is Our Youth,Kenneth Lonergan,https://en.wikipedia.org/wiki/This_Is_Our_Youth
86,2015,False,You Can't Take It With You,Moss Hart and George S. Kaufman,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(play)
87,2016,False,A View from the Bridge,Arthur Miller,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
88,2016,False,Blackbird,David Harrower,https://en.wikipedia.org/wiki/Blackbird_(play)
89,2016,False,The Crucible,Arthur Miller,https://en.wikipedia.org/wiki/The_Crucible
90,2016,False,Long Day's Journey Into Night,Eugene O'Neill,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_Into_Night
91,2016,False,Noises Off,Michael Frayn,https://en.wikipedia.org/wiki/Noises_Off
92,2017,False,Jitney,August Wilson,https://en.wikipedia.org/wiki/Jitney_(play)
93,2017,False,The Little Foxes,Lillian Hellman,https://en.wikipedia.org/wiki/The_Little_Foxes
94,2017,False,Present Laughter,Noël Coward,https://en.wikipedia.org/wiki/Present_Laughter
95,2017,False,Six Degrees of Separation,John Guare,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(play)
96,2018,False,Angels in America,Tony Kushner,https://en.wikipedia.org/wiki/Angels_in_America
97,2018,False,The Iceman Cometh,Eugene O'Neill,https://en.wikipedia.org/wiki/The_Iceman_Cometh
98,2018,False,Lobby Hero,Kenneth Lonergan,https://en.wikipedia.org/wiki/Lobby_Hero
99,2018,False,Three Tall Women,Edward Albee,https://en.wikipedia.org/wiki/Three_Tall_Women
100,2018,False,Travesties,Tom Stoppard,https://en.wikipedia.org/wiki/Travesties
101,2019,False,The Boys in the Band,Mart Crowley,https://en.wikipedia.org/wiki/The_Boys_in_the_Band_(play)
102,2019,False,All My Sons,Arthur Miller,https://en.wikipedia.org/wiki/All_My_Sons
103,2019,False,Burn This,Lanford Wilson,https://en.wikipedia.org/wiki/Burn_This
104,2019,False,Torch Song,Harvey Fierstein,https://en.wikipedia.org/wiki/Torch_Song_Trilogy
105,2019,False,The Waverly Gallery,Kenneth Lonergan,https://en.wikipedia.org/wiki/The_Waverly_Gallery
